Bakteri Target,Test,Report Group,Antimicrobial Agent,Disk Content,Satuan (DC),Zone Diameter IC - S,Zone Diameter IC - SDD - BB,Zone Diameter IC - SDD - BA,Zone Diameter IC - I - BB,Zone Diameter IC - I - BA,Zone Diameter IC - R,MIC IC (µg/mL) - S,MIC IC (µg/mL) - SSD - BB,MIC IC (µg/mL) - SSD - BA,MIC IC (µg/mL) - I - BB,MIC IC (µg/mL) - I - BA,MIC IC (µg/mL) - R,Comments
Enterobacteriaceae,"CEPHEMS (PARENTERAL) (Including cephalosporins I, II, III, and IV.)",B,Ceftriaxone,30,µg,23,,,20,22,19,1,,,2,2,4,"(14) Interpretive criteria are
based on a dosage regimen of 1 g
every 24 h for ceftriaxone and 1 g
every 8 h for cefotaxime.
See comment (7)."
Enterobacteriaceae,"CEPHEMS (PARENTERAL) (Including cephalosporins I, II, III, and IV.)",B,Cefotetan,30,µg,16,,,13,15,12,16,,,32,32,64,
Enterobacteriaceae,"CEPHEMS (PARENTERAL) (Including cephalosporins I, II, III, and IV.)",B,Cefoxitin,30,µg,18,,,15,17,14,8,,,16,16,32,"(15) The interpretive criteria are
based on a dosage regimen of at
least 8 g per day (eg, 2 g every 6
h)."
Enterobacteriaceae,"CEPHEMS (PARENTERAL) (Including cephalosporins I, II, III, and IV.)",B,"Cefuroxime
(parenteral)",30,µg,18,,,15,17,14,8,,,16,16,32,"(16) Interpretive criteria are
based on a dosage regimen of
1.5 g every 8 h.
See comment (7)."
Enterobacteriaceae,"CEPHEMS (PARENTERAL) (Including cephalosporins I, II, III, and IV.)",C,Ceftazidime,30,µg,21,,,18,20,17,4,,,8,8,16,"(17) Interpretive criteria are
based on a dosage regimen of 1
g every 8 h.
See comment (7)."
Enterobacteriaceae,"CEPHEMS (PARENTERAL) (Including cephalosporins I, II, III, and IV.)",O,Cefamandole,30,µg,18,,,15,17,14,8,,,16,16,32,See comment (7).
Enterobacteriaceae,"CEPHEMS (PARENTERAL) (Including cephalosporins I, II, III, and IV.)",O,Cefmetazole,30,µg,16,,,13,15,12,16,,,32,32,64,"(18) Insufficient new data exist to
reevaluate interpretive criteria
listed here."
Enterobacteriaceae,"CEPHEMS (PARENTERAL) (Including cephalosporins I, II, III, and IV.)",O,Cefonicid,30,µg,18,,,15,17,14,8,,,16,16,32,See comment (7).
Enterobacteriaceae,"CEPHEMS (PARENTERAL) (Including cephalosporins I, II, III, and IV.)",O,Cefoperazone,75,µg,21,,,16,20,15,16,,,32,32,64,See comment (7).
Enterobacteriaceae,"CEPHEMS (PARENTERAL) (Including cephalosporins I, II, III, and IV.)",O,Ceftizoxime,30,µg,25,,,22,24,21,1,,,2,2,4,"(19) Interpretive criteria are
based on a dosage regimen of 1
g every 12 h.
See comment (7)."
Enterobacteriaceae,"CEPHEMS (PARENTERAL) (Including cephalosporins I, II, III, and IV.)",O,Moxalactam,30,µg,23,,,15,22,14,8,,,16,32,64,See comment (7).
Enterobacteriaceae,CEPHEMS (ORAL),B,Cefuroxime (oral),30,µg,23,,,15,22,14,4,,,8,16,32,See comments (12 and 20).
Enterobacteriaceae,CEPHEMS (ORAL),U,"Cefazolin
(surrogate test for
uncomplicated UTI)",30,µg,15,,,-,-,14,16,-,-,-,-,32,"(20) Rx: Cefazolin results
predict results for the oral
agents cefaclor, cefdinir,
cefpodoxime, cefprozil,
cefuroxime axetil, cephalexin,
and loracarbef when used for
therapy of uncomplicated UTIs
due to E. coli, K. pneumoniae,
and P. mirabilis. Cefpodoxime,
cefdinir, and cefuroxime axetil
may be tested individually
because some isolates may be
susceptible to these agents
while testing resistant to
cefazolin.
See comment (12)."
Enterobacteriaceae,CEPHEMS (ORAL),O,Loracarbef,30,µg,18,,,15,17,14,8,,,16,16,32,"(21) Do not test Citrobacter,
Providencia, or Enterobacter spp.
with cefdinir or loracarbef by disk
diffusion because false-susceptible
results have been reported.
See comments (12 and 20)."
Enterobacteriaceae,CEPHEMS (ORAL),O,Cefaclor,30,µg,18,,,15,17,14,8,,,16,16,32,See comments (12 and 20).
Enterobacteriaceae,CEPHEMS (ORAL),O,Cefdinir,5,µg,20,,,17,19,16,1,,,2,2,4,"See comments (12, 20, and 21)."
